date,asset,price
2020-01-01,AAPL,112.47
2020-01-02,AAPL,111.51
2020-01-03,AAPL,111.86
2020-01-04,AAPL,110.34
2020-01-05,AAPL,111.34
2020-01-06,AAPL,113.79
2020-01-07,AAPL,112.78
2020-01-08,AAPL,114.24
2020-01-09,AAPL,113.78
2020-01-10,AAPL,115.59
2020-01-11,AAPL,118.22
2020-01-12,AAPL,117.93
2020-01-13,AAPL,116.11
2020-01-14,AAPL,117.25
2020-01-15,AAPL,117.52
2020-01-16,AAPL,118.12
2020-01-17,AAPL,117.71
2020-01-18,AAPL,116.65
2020-01-19,AAPL,118.04
2020-01-20,AAPL,118.43
2020-01-21,AAPL,116.69
2020-01-22,AAPL,117.52
2020-01-23,AAPL,118.1
2020-01-24,AAPL,117.71
2020-01-25,AAPL,119.66
2020-01-26,AAPL,118.91
2020-01-27,AAPL,118.71
2020-01-28,AAPL,119.63
2020-01-29,AAPL,119.73
2020-01-30,AAPL,118.06
2020-01-31,AAPL,118.28
2020-02-01,AAPL,117.79
2020-02-02,AAPL,118.82
2020-02-03,AAPL,119.0
2020-02-04,AAPL,119.11
2020-02-05,AAPL,117.85
2020-02-06,AAPL,117.58
2020-02-07,AAPL,118.74
2020-02-08,AAPL,117.81
2020-02-09,AAPL,117.77
2020-02-10,AAPL,116.65
2020-02-11,AAPL,115.23
2020-02-12,AAPL,115.12
2020-02-13,AAPL,115.33
2020-02-14,AAPL,117.72
2020-02-15,AAPL,117.18
2020-02-16,AAPL,117.12
2020-02-17,AAPL,115.62
2020-02-18,AAPL,116.35
2020-02-19,AAPL,116.83
2020-02-20,AAPL,118.62
2020-02-21,AAPL,119.95
2020-02-22,AAPL,120.37
2020-02-23,AAPL,119.81
2020-02-24,AAPL,120.05
2020-02-25,AAPL,119.92
2020-02-26,AAPL,121.06
2020-02-27,AAPL,122.06
2020-02-28,AAPL,121.7
2020-02-29,AAPL,119.95
2020-03-01,AAPL,121.55
2020-03-02,AAPL,122.24
2020-03-03,AAPL,121.86
2020-03-04,AAPL,122.51
2020-03-05,AAPL,122.6
2020-03-06,AAPL,124.18
2020-03-07,AAPL,121.87
2020-03-08,AAPL,121.39
2020-03-09,AAPL,123.31
2020-03-10,AAPL,123.99
2020-03-11,AAPL,126.11
2020-03-12,AAPL,124.65
2020-03-13,AAPL,125.93
2020-03-14,AAPL,127.15
2020-03-15,AAPL,125.13
2020-03-16,AAPL,124.78
2020-03-17,AAPL,124.65
2020-03-18,AAPL,122.71
2020-03-19,AAPL,122.38
2020-03-20,AAPL,123.42
2020-03-21,AAPL,122.95
2020-03-22,AAPL,123.24
2020-03-23,AAPL,123.54
2020-03-24,AAPL,123.53
2020-03-25,AAPL,122.68
2020-03-26,AAPL,123.47
2020-03-27,AAPL,121.57
2020-03-28,AAPL,121.58
2020-03-29,AAPL,123.24
2020-03-30,AAPL,122.71
2020-03-31,AAPL,121.83
2020-04-01,AAPL,122.7
2020-04-02,AAPL,122.9
2020-04-03,AAPL,123.79
2020-04-04,AAPL,123.84
2020-04-05,AAPL,120.97
2020-04-06,AAPL,122.39
2020-04-07,AAPL,124.87
2020-04-08,AAPL,126.41
2020-04-09,AAPL,122.17
2020-04-10,AAPL,122.71
2020-04-11,AAPL,122.15
2020-04-12,AAPL,120.85
2020-04-13,AAPL,121.0
2020-04-14,AAPL,120.82
2020-04-15,AAPL,121.43
2020-04-16,AAPL,121.5
2020-04-17,AAPL,120.15
2020-04-18,AAPL,119.46
2020-04-19,AAPL,118.57
2020-04-20,AAPL,116.51
2020-04-21,AAPL,114.87
2020-04-22,AAPL,114.61
2020-04-23,AAPL,116.32
2020-04-24,AAPL,115.68
2020-04-25,AAPL,114.77
2020-04-26,AAPL,113.35
2020-04-27,AAPL,113.39
2020-04-28,AAPL,114.8
2020-04-29,AAPL,117.21
2020-04-30,AAPL,117.55
2020-05-01,AAPL,117.72
2020-05-02,AAPL,117.07
2020-05-03,AAPL,116.61
2020-05-04,AAPL,117.37
2020-05-05,AAPL,116.99
2020-05-06,AAPL,116.8
2020-05-07,AAPL,116.77
2020-05-08,AAPL,116.06
2020-05-09,AAPL,115.97
2020-05-10,AAPL,113.54
2020-05-11,AAPL,114.2
2020-05-12,AAPL,117.03
2020-05-13,AAPL,116.36
2020-05-14,AAPL,116.81
2020-05-15,AAPL,117.83
2020-05-16,AAPL,119.37
2020-05-17,AAPL,119.05
2020-05-18,AAPL,116.89
2020-05-19,AAPL,117.21
2020-05-20,AAPL,117.36
2020-05-21,AAPL,116.95
2020-05-22,AAPL,116.79
2020-05-23,AAPL,116.96
2020-05-24,AAPL,117.39
2020-05-25,AAPL,117.78
2020-05-26,AAPL,117.52
2020-05-27,AAPL,117.98
2020-05-28,AAPL,117.64
2020-05-29,AAPL,118.41
2020-05-30,AAPL,117.65
2020-05-31,AAPL,117.74
2020-06-01,AAPL,115.79
2020-06-02,AAPL,115.35
2020-06-03,AAPL,116.03
2020-06-04,AAPL,114.79
2020-06-05,AAPL,114.41
2020-06-06,AAPL,111.52
2020-06-07,AAPL,109.88
2020-06-08,AAPL,108.55
2020-06-09,AAPL,108.67
2020-06-10,AAPL,109.07
2020-06-11,AAPL,109.0
2020-06-12,AAPL,108.55
2020-06-13,AAPL,108.09
2020-06-14,AAPL,108.95
2020-06-15,AAPL,109.21
2020-06-16,AAPL,108.8
2020-06-17,AAPL,110.36
2020-06-18,AAPL,112.7
2020-06-19,AAPL,111.2
2020-06-20,AAPL,111.83
2020-06-21,AAPL,115.54
2020-06-22,AAPL,115.87
2020-06-23,AAPL,116.01
2020-06-24,AAPL,115.94
2020-06-25,AAPL,116.53
2020-06-26,AAPL,117.44
2020-06-27,AAPL,115.94
2020-06-28,AAPL,115.91
2020-06-29,AAPL,113.19
2020-06-30,AAPL,112.94
2020-07-01,AAPL,111.86
2020-07-02,AAPL,112.26
2020-07-03,AAPL,110.27
2020-07-04,AAPL,109.66
2020-07-05,AAPL,110.82
2020-07-06,AAPL,110.01
2020-07-07,AAPL,107.72
2020-07-08,AAPL,108.03
2020-07-09,AAPL,107.33
2020-07-10,AAPL,107.1
2020-07-11,AAPL,106.23
2020-07-12,AAPL,108.6
2020-07-13,AAPL,106.73
2020-07-14,AAPL,110.13
2020-07-15,AAPL,109.66
2020-07-16,AAPL,109.88
2020-07-17,AAPL,109.19
2020-07-18,AAPL,108.45
2020-07-19,AAPL,107.51
2020-07-20,AAPL,108.23
2020-07-21,AAPL,106.54
2020-07-22,AAPL,106.97
2020-07-23,AAPL,104.35
2020-07-24,AAPL,104.68
2020-07-25,AAPL,105.7
2020-07-26,AAPL,104.17
2020-07-27,AAPL,104.98
2020-07-28,AAPL,105.05
2020-07-29,AAPL,106.96
2020-07-30,AAPL,105.94
2020-07-31,AAPL,109.32
2020-08-01,AAPL,106.45
2020-08-02,AAPL,106.05
2020-08-03,AAPL,104.01
2020-08-04,AAPL,106.24
2020-08-05,AAPL,105.92
2020-08-06,AAPL,105.72
2020-08-07,AAPL,106.25
2020-08-08,AAPL,106.24
2020-08-09,AAPL,105.53
2020-08-10,AAPL,104.02
2020-08-11,AAPL,104.22
2020-08-12,AAPL,104.68
2020-08-13,AAPL,105.51
2020-08-14,AAPL,107.81
2020-08-15,AAPL,105.2
2020-08-16,AAPL,105.12
2020-08-17,AAPL,106.55
2020-08-18,AAPL,106.4
2020-08-19,AAPL,103.59
2020-08-20,AAPL,102.04
2020-08-21,AAPL,102.44
2020-08-22,AAPL,102.79
2020-08-23,AAPL,103.6
2020-08-24,AAPL,102.66
2020-08-25,AAPL,102.97
2020-08-26,AAPL,101.84
2020-08-27,AAPL,102.15
2020-08-28,AAPL,102.21
2020-08-29,AAPL,101.23
2020-08-30,AAPL,103.1
2020-08-31,AAPL,101.05
2020-09-01,AAPL,100.88
2020-09-02,AAPL,99.87
2020-09-03,AAPL,102.07
2020-09-04,AAPL,102.79
2020-09-05,AAPL,102.01
2020-09-06,AAPL,101.67
2020-09-07,AAPL,103.91
2020-09-08,AAPL,102.77
2020-09-09,AAPL,100.65
2020-09-10,AAPL,101.0
2020-09-11,AAPL,101.38
2020-09-12,AAPL,102.18
2020-09-13,AAPL,102.98
2020-09-14,AAPL,105.11
2020-09-15,AAPL,103.05
2020-09-16,AAPL,101.6
2020-09-17,AAPL,102.4
2020-09-18,AAPL,101.07
2020-09-19,AAPL,99.32
2020-09-20,AAPL,101.56
2020-09-21,AAPL,99.62
2020-09-22,AAPL,99.2
2020-09-23,AAPL,99.13
2020-09-24,AAPL,100.7
2020-09-25,AAPL,98.46
2020-09-26,AAPL,98.95
2020-09-27,AAPL,97.89
2020-09-28,AAPL,98.64
2020-09-29,AAPL,97.55
2020-09-30,AAPL,99.44
2020-10-01,AAPL,98.36
2020-10-02,AAPL,95.4
2020-10-03,AAPL,94.45
2020-10-04,AAPL,94.14
2020-10-05,AAPL,95.44
2020-10-06,AAPL,93.93
2020-10-07,AAPL,92.44
2020-10-08,AAPL,93.6
2020-10-09,AAPL,91.95
2020-10-10,AAPL,91.73
2020-10-11,AAPL,91.54
2020-10-12,AAPL,91.8
2020-10-13,AAPL,90.9
2020-10-14,AAPL,89.79
2020-10-15,AAPL,90.19
2020-10-16,AAPL,89.12
2020-10-17,AAPL,87.48
2020-10-18,AAPL,88.96
2020-10-19,AAPL,89.54
2020-10-20,AAPL,91.66
2020-10-21,AAPL,92.61
2020-10-22,AAPL,91.08
2020-10-23,AAPL,91.2
2020-10-24,AAPL,89.98
2020-10-25,AAPL,88.0
2020-10-26,AAPL,87.46
2020-10-27,AAPL,88.64
2020-10-28,AAPL,88.97
2020-10-29,AAPL,87.3
2020-10-30,AAPL,86.72
2020-10-31,AAPL,86.55
2020-11-01,AAPL,84.52
2020-11-02,AAPL,85.38
2020-11-03,AAPL,85.1
2020-11-04,AAPL,83.44
2020-11-05,AAPL,81.7
2020-11-06,AAPL,83.02
2020-11-07,AAPL,82.56
2020-11-08,AAPL,83.99
2020-11-09,AAPL,85.88
2020-11-10,AAPL,87.11
2020-11-11,AAPL,86.47
2020-11-12,AAPL,83.47
2020-11-13,AAPL,83.84
2020-11-14,AAPL,86.35
2020-11-15,AAPL,86.31
2020-11-16,AAPL,83.92
2020-11-17,AAPL,83.11
2020-11-18,AAPL,82.89
2020-11-19,AAPL,81.57
2020-11-20,AAPL,78.5
2020-11-21,AAPL,78.38
2020-11-22,AAPL,77.44
2020-11-23,AAPL,79.57
2020-11-24,AAPL,79.69
2020-11-25,AAPL,80.25
2020-11-26,AAPL,80.11
2020-11-27,AAPL,80.22
2020-11-28,AAPL,78.24
2020-11-29,AAPL,76.99
2020-11-30,AAPL,78.3
2020-12-01,AAPL,78.55
2020-12-02,AAPL,78.07
2020-12-03,AAPL,78.65
2020-12-04,AAPL,79.26
2020-12-05,AAPL,81.65
2020-12-06,AAPL,81.84
2020-12-07,AAPL,80.57
2020-12-08,AAPL,80.43
2020-12-09,AAPL,81.16
2020-12-10,AAPL,82.35
2020-12-11,AAPL,80.42
2020-12-12,AAPL,80.72
2020-12-13,AAPL,79.64
2020-12-14,AAPL,78.96
2020-12-15,AAPL,79.98
2020-12-16,AAPL,80.87
2020-12-17,AAPL,80.06
2020-12-18,AAPL,79.87
2020-12-19,AAPL,79.23
2020-12-20,AAPL,82.7
2020-12-21,AAPL,83.03
2020-12-22,AAPL,82.02
2020-12-23,AAPL,83.61
2020-12-24,AAPL,85.24
2020-12-25,AAPL,87.39
2020-12-26,AAPL,89.9
2020-12-27,AAPL,90.75
2020-12-28,AAPL,90.33
2020-12-29,AAPL,90.08
2020-12-30,AAPL,89.73
2020-12-31,AAPL,89.25
2021-01-01,AAPL,90.74
2021-01-02,AAPL,90.74
2021-01-03,AAPL,91.9
2021-01-04,AAPL,92.71
2021-01-05,AAPL,91.4
2021-01-06,AAPL,89.33
2021-01-07,AAPL,87.85
2021-01-08,AAPL,87.34
2021-01-09,AAPL,87.5
2021-01-10,AAPL,86.72
2021-01-11,AAPL,87.57
2021-01-12,AAPL,86.93
2021-01-13,AAPL,87.24
2021-01-14,AAPL,87.38
2021-01-15,AAPL,89.46
2021-01-16,AAPL,88.29
2021-01-17,AAPL,90.94
2021-01-18,AAPL,90.23
2021-01-19,AAPL,88.62
2021-01-20,AAPL,88.36
2021-01-21,AAPL,92.25
2021-01-22,AAPL,93.32
2021-01-23,AAPL,94.05
2021-01-24,AAPL,95.0
2021-01-25,AAPL,94.08
2021-01-26,AAPL,94.47
2021-01-27,AAPL,94.47
2021-01-28,AAPL,96.64
2021-01-29,AAPL,96.51
2021-01-30,AAPL,96.06
2021-01-31,AAPL,94.66
2021-02-01,AAPL,94.83
2021-02-02,AAPL,95.18
2021-02-03,AAPL,93.74
2021-02-04,AAPL,94.28
2021-02-05,AAPL,94.56
2021-02-06,AAPL,95.78
2021-02-07,AAPL,97.23
2021-02-08,AAPL,97.35
2021-02-09,AAPL,96.1
2021-02-10,AAPL,95.11
2021-02-11,AAPL,97.22
2021-02-12,AAPL,97.42
2021-02-13,AAPL,99.51
2021-02-14,AAPL,100.11
2021-02-15,AAPL,101.02
2021-02-16,AAPL,102.14
2021-02-17,AAPL,100.68
2021-02-18,AAPL,101.04
2021-02-19,AAPL,99.56
2021-02-20,AAPL,99.22
2021-02-21,AAPL,99.99
2021-02-22,AAPL,98.76
2021-02-23,AAPL,99.43
2021-02-24,AAPL,97.63
2021-02-25,AAPL,99.0
2021-02-26,AAPL,98.2
2021-02-27,AAPL,96.97
2021-02-28,AAPL,95.25
2021-03-01,AAPL,94.55
2021-03-02,AAPL,92.26
2021-03-03,AAPL,91.61
2021-03-04,AAPL,92.93
2021-03-05,AAPL,92.7
2021-03-06,AAPL,91.29
2021-03-07,AAPL,91.56
2021-03-08,AAPL,91.72
2021-03-09,AAPL,94.07
2021-03-10,AAPL,95.02
2021-03-11,AAPL,95.39
2021-03-12,AAPL,96.47
2021-03-13,AAPL,96.31
2021-03-14,AAPL,96.22
2021-03-15,AAPL,98.21
2021-03-16,AAPL,96.25
2021-03-17,AAPL,97.41
2021-03-18,AAPL,97.28
2021-03-19,AAPL,96.93
2021-03-20,AAPL,96.26
2021-03-21,AAPL,96.45
2021-03-22,AAPL,96.4
2021-03-23,AAPL,95.9
2021-03-24,AAPL,95.06
2021-03-25,AAPL,92.77
2021-03-26,AAPL,91.9
2021-03-27,AAPL,91.29
2021-03-28,AAPL,91.47
2021-03-29,AAPL,93.82
2021-03-30,AAPL,93.08
2021-03-31,AAPL,91.86
2021-04-01,AAPL,91.0
2021-04-02,AAPL,91.18
2021-04-03,AAPL,91.89
2021-04-04,AAPL,92.76
2021-04-05,AAPL,93.76
2021-04-06,AAPL,94.92
2021-04-07,AAPL,94.58
2021-04-08,AAPL,97.05
2021-04-09,AAPL,96.62
2021-04-10,AAPL,96.75
2021-04-11,AAPL,98.31
2021-04-12,AAPL,98.99
2021-04-13,AAPL,96.3
2021-04-14,AAPL,96.31
2021-04-15,AAPL,97.34
2021-04-16,AAPL,95.73
2021-04-17,AAPL,96.63
2021-04-18,AAPL,97.1
2021-04-19,AAPL,98.52
2021-04-20,AAPL,97.69
2021-04-21,AAPL,98.88
2021-04-22,AAPL,99.07
2021-04-23,AAPL,101.19
2021-04-24,AAPL,104.54
2021-04-25,AAPL,106.38
2021-04-26,AAPL,106.96
2021-04-27,AAPL,109.74
2021-04-28,AAPL,110.47
2021-04-29,AAPL,109.38
2021-04-30,AAPL,109.33
2021-05-01,AAPL,110.25
2021-05-02,AAPL,111.24
2021-05-03,AAPL,109.89
2021-05-04,AAPL,108.57
2021-05-05,AAPL,108.16
2021-05-06,AAPL,108.81
2021-05-07,AAPL,109.6
2021-05-08,AAPL,109.77
2021-05-09,AAPL,108.77
2021-05-10,AAPL,110.85
2021-05-11,AAPL,109.57
2021-05-12,AAPL,111.13
2021-05-13,AAPL,112.02
2021-05-14,AAPL,113.55
2021-05-15,AAPL,113.02
2021-05-16,AAPL,112.85
2021-05-17,AAPL,112.91
2021-05-18,AAPL,112.34
2021-05-19,AAPL,112.61
2021-05-20,AAPL,114.51
2021-05-21,AAPL,112.95
2021-05-22,AAPL,112.16
2021-05-23,AAPL,111.24
2021-05-24,AAPL,111.13
2021-05-25,AAPL,110.97
2021-05-26,AAPL,111.9
2021-05-27,AAPL,111.94
2021-05-28,AAPL,112.3
2021-05-29,AAPL,112.78
2021-05-30,AAPL,113.07
2021-05-31,AAPL,113.92
2021-06-01,AAPL,113.77
2021-06-02,AAPL,115.74
2021-06-03,AAPL,118.79
2021-06-04,AAPL,119.64
2021-06-05,AAPL,119.92
2021-06-06,AAPL,120.67
2021-06-07,AAPL,119.34
2021-06-08,AAPL,119.56
2021-06-09,AAPL,118.68
2021-06-10,AAPL,119.29
2021-06-11,AAPL,118.42
2021-06-12,AAPL,118.01
2021-06-13,AAPL,115.76
2021-06-14,AAPL,114.35
2021-06-15,AAPL,114.78
2021-06-16,AAPL,113.74
2021-06-17,AAPL,115.01
2021-06-18,AAPL,113.87
2021-06-19,AAPL,114.41
2021-06-20,AAPL,113.5
2021-06-21,AAPL,113.96
2021-06-22,AAPL,112.12
2021-06-23,AAPL,111.58
2021-06-24,AAPL,110.56
2021-06-25,AAPL,111.62
2021-06-26,AAPL,112.18
2021-06-27,AAPL,110.7
2021-06-28,AAPL,110.45
2021-06-29,AAPL,109.53
2021-06-30,AAPL,110.67
2021-07-01,AAPL,112.19
2021-07-02,AAPL,110.46
2021-07-03,AAPL,111.45
2021-07-04,AAPL,110.47
2021-07-05,AAPL,110.16
2021-07-06,AAPL,110.2
2021-07-07,AAPL,112.38
2021-07-08,AAPL,111.18
2021-07-09,AAPL,112.18
2021-07-10,AAPL,110.77
2021-07-11,AAPL,109.28
2021-07-12,AAPL,109.32
2021-07-13,AAPL,109.34
2021-07-14,AAPL,105.95
2021-07-15,AAPL,107.34
2021-07-16,AAPL,104.77
2021-07-17,AAPL,104.59
2021-07-18,AAPL,106.19
2021-07-19,AAPL,108.84
2021-07-20,AAPL,108.4
2021-07-21,AAPL,106.68
2021-07-22,AAPL,108.23
2021-07-23,AAPL,109.27
2021-07-24,AAPL,108.68
2021-07-25,AAPL,107.95
2021-07-26,AAPL,107.08
2021-07-27,AAPL,106.67
2021-07-28,AAPL,107.05
2021-07-29,AAPL,106.37
2021-07-30,AAPL,105.84
2021-07-31,AAPL,106.61
2021-08-01,AAPL,104.83
2021-08-02,AAPL,104.38
2021-08-03,AAPL,102.37
2021-08-04,AAPL,102.5
2021-08-05,AAPL,100.17
2021-08-06,AAPL,101.24
2021-08-07,AAPL,99.66
2021-08-08,AAPL,97.54
2021-08-09,AAPL,97.1
2021-08-10,AAPL,99.15
2021-08-11,AAPL,100.01
2021-08-12,AAPL,97.7
2021-08-13,AAPL,96.09
2021-08-14,AAPL,95.62
2021-08-15,AAPL,98.3
2021-08-16,AAPL,97.17
2021-08-17,AAPL,96.06
2021-08-18,AAPL,97.89
