user_id,age,income,experience_years,risk_survey_score,total_transactions,avg_amount,first_tx_date,last_tx_date,active_days,monthly_freq,tx_count_30d,pct_crypto,pct_etf,pct_forex,pct_other,pct_stocks,pct_bond,volatility_mean_30,volatility_mean_60,volatility_std_30,risk_level
1,42,242,11,17,9,847.52,2021-06-08,2024-08-13,1162,1.0,0,0.4444444444444444,0.0,0.0,0.1111111111111111,0.4444444444444444,0.0,0.016282755067620714,0.016299679151641808,0.00608870289394163,medium
2,36,332,4,17,10,906.0719999999999,2020-01-10,2024-10-10,1735,1.0,0,0.5,0.1,0.0,0.0,0.4,0.0,0.013612876128797214,0.013643661656336972,0.004067054658425029,medium
3,44,225,20,11,11,678.1718181818183,2020-06-26,2024-04-20,1394,1.0,0,0.6363636363636364,0.09090909090909091,0.0,0.18181818181818182,0.09090909090909091,0.0,0.011894997628506722,0.011933049539586144,0.004870260835908121,medium
4,53,301,17,12,10,802.214,2021-01-24,2024-08-09,1293,1.0,0,0.3,0.1,0.2,0.1,0.3,0.0,0.011726488975232232,0.011771784394582005,0.004343523364763533,medium
5,35,116,9,13,5,708.068,2020-03-18,2024-08-02,1598,1.0,0,0.4,0.0,0.0,0.2,0.4,0.0,0.011476134582533177,0.011528872710026072,0.0050063607930069445,medium
6,35,412,5,19,10,898.777,2020-03-13,2024-11-23,1716,1.0,0,0.2,0.3,0.0,0.5,0.0,0.0,0.009101597268970436,0.009170027818453958,0.0037041284590946955,high
7,53,363,17,18,7,744.0942857142857,2020-12-12,2024-08-26,1353,1.0,0,0.5714285714285714,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.01395422538360229,0.013979014043748114,0.004067054658425029,high
8,45,222,12,17,9,806.6277777777779,2020-10-30,2024-02-24,1212,1.0,0,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.011830283261011399,0.011863309570886068,0.0030865116622926844,medium
9,33,539,3,15,11,769.4527272727272,2020-12-02,2024-03-29,1213,1.0,0,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.45454545454545453,0.0,0.012492203163675825,0.012537509640412614,0.004343523364763533,medium
10,43,637,6,15,7,769.2900000000001,2020-03-14,2024-04-06,1484,1.0,0,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.0,0.012012102434024332,0.012059289482058842,0.005132478379836331,medium
